Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	2.88266	A	off	0004.04		181104 21:08:24.7505
Agilent 	1.15000e+00 	1.15000e+00 	5.058796	A	off	0004.05		181104 21:08:24.7612
Keithley 	1.15000e+00 	1.15000e+00 	-14.63006	B	off	0007.10		181104 21:08:27.8095
Agilent 	1.15000e+00 	1.15000e+00 	7.765026	B	off	0007.11		181104 21:08:27.8207
Keithley 	1.15500e+00 	1.15500e+00 	-5.12851	A	off	0010.19		181104 21:08:30.8996
Agilent 	1.15500e+00 	1.15500e+00 	5.522906	A	off	0010.20		181104 21:08:30.9130
Keithley 	1.15500e+00 	1.15500e+00 	1.72966	B	off	0013.26		181104 21:08:33.9716
Agilent 	1.15500e+00 	1.15500e+00 	12.49082	B	off	0013.27		181104 21:08:33.9819
Keithley 	1.16000e+00 	1.16000e+00 	-13.12461	A	off	0016.38		181104 21:08:37.8623
Agilent 	1.16000e+00 	1.16000e+00 	-4.938287	A	off	0016.39		181104 21:08:37.1003
Keithley 	1.16000e+00 	1.16000e+00 	-6.15788	B	off	0019.46		181104 21:08:40.1714
Agilent 	1.16000e+00 	1.16000e+00 	2.423659	B	off	0019.47		181104 21:08:40.1817
Keithley 	1.16500e+00 	1.16500e+00 	-9.744555	A	off	0022.50		181104 21:08:43.2072
Agilent 	1.16500e+00 	1.16500e+00 	13.85649	A	off	0022.51		181104 21:08:43.2176
Keithley 	1.16500e+00 	1.16500e+00 	-17.34163	B	off	0025.62		181104 21:08:46.3280
Agilent 	1.16500e+00 	1.16500e+00 	-2.615859	B	off	0025.63		181104 21:08:46.3412
Keithley 	1.17000e+00 	1.17000e+00 	2.70074	A	off	0028.70		181104 21:08:49.4134
Agilent 	1.17000e+00 	1.17000e+00 	8.971376	A	off	0028.72		181104 21:08:49.4329
Keithley 	1.17000e+00 	1.17000e+00 	-3.40543	B	off	0031.83		181104 21:08:52.5424
Agilent 	1.17000e+00 	1.17000e+00 	6.975966	B	off	0031.84		181104 21:08:52.5532
Keithley 	1.17500e+00 	1.17500e+00 	3.01513	A	off	0034.92		181104 21:08:55.6300
Agilent 	1.17500e+00 	1.17500e+00 	10.80499	A	off	0034.93		181104 21:08:55.6402
Keithley 	1.17500e+00 	1.17500e+00 	-3.45271	B	off	0038.01		181104 21:08:58.7243
Agilent 	1.17500e+00 	1.17500e+00 	13.30994	B	off	0038.03		181104 21:08:58.7381
Keithley 	1.18000e+00 	1.18000e+00 	0.17822	A	off	0041.12		181104 21:09:01.8312
Agilent 	1.18000e+00 	1.18000e+00 	8.396606	A	off	0041.14		181104 21:09:01.8514
Keithley 	1.18000e+00 	1.18000e+00 	-9.715586	B	off	0044.22		181104 21:09:04.9255
Agilent 	1.18000e+00 	1.18000e+00 	3.824642	B	off	0044.23		181104 21:09:04.9365
Keithley 	1.18500e+00 	1.18500e+00 	-4.10488	A	off	0047.30		181104 21:09:08.9760
Agilent 	1.18500e+00 	1.18500e+00 	10.48148	A	off	0047.32		181104 21:09:08.2984
Keithley 	1.18500e+00 	1.18500e+00 	-13.52884	B	off	0050.39		181104 21:09:11.9490
Agilent 	1.18500e+00 	1.18500e+00 	-2.657592	B	off	0050.41		181104 21:09:11.1159
Keithley 	1.19000e+00 	1.19000e+00 	-16.81718	A	off	0053.49		181104 21:09:14.1966
Agilent 	1.19000e+00 	1.19000e+00 	7.639256	A	off	0053.50		181104 21:09:14.2069
Keithley 	1.19000e+00 	1.19000e+00 	-14.35949	B	off	0056.54		181104 21:09:17.2492
Agilent 	1.19000e+00 	1.19000e+00 	3.239964	B	off	0056.55		181104 21:09:17.2606
