Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	0.783566	A	off	0004.09		181104 20:37:22.3615
Agilent 	1.15000e+00 	1.15000e+00 	-8.08324	A	off	0004.10		181104 20:37:22.3722
Keithley 	1.15000e+00 	1.15000e+00 	-1.267487	B	off	0007.24		181104 20:37:25.5033
Agilent 	1.15000e+00 	1.15000e+00 	-9.176328	B	off	0007.25		181104 20:37:25.5191
Keithley 	1.15500e+00 	1.15500e+00 	0.07092	A	off	0010.29		181104 20:37:28.5555
Agilent 	1.15500e+00 	1.15500e+00 	0.21958	A	off	0010.32		181104 20:37:28.5909
Keithley 	1.15500e+00 	1.15500e+00 	3.366176	B	off	0013.41		181104 20:37:31.6788
Agilent 	1.15500e+00 	1.15500e+00 	-13.37929	B	off	0013.42		181104 20:37:31.6891
Keithley 	1.16000e+00 	1.16000e+00 	-6.920607	A	off	0016.56		181104 20:37:34.8277
Agilent 	1.16000e+00 	1.16000e+00 	-8.44727	A	off	0016.58		181104 20:37:34.8493
Keithley 	1.16000e+00 	1.16000e+00 	12.59275	B	off	0019.71		181104 20:37:37.9747
Agilent 	1.16000e+00 	1.16000e+00 	-8.70492	B	off	0019.73		181104 20:37:37.9967
Keithley 	1.16500e+00 	1.16500e+00 	-1.976186	A	off	0022.87		181104 20:37:41.1365
Agilent 	1.16500e+00 	1.16500e+00 	-16.19996	A	off	0022.88		181104 20:37:41.1507
Keithley 	1.16500e+00 	1.16500e+00 	4.061391	B	off	0025.97		181104 20:37:44.2358
Agilent 	1.16500e+00 	1.16500e+00 	-8.13898	B	off	0025.98		181104 20:37:44.2483
Keithley 	1.17000e+00 	1.17000e+00 	-5.986589	A	off	0029.05		181104 20:37:47.3164
Agilent 	1.17000e+00 	1.17000e+00 	0.21225	A	off	0029.07		181104 20:37:47.3397
Keithley 	1.17000e+00 	1.17000e+00 	8.740191	B	off	0032.11		181104 20:37:50.3767
Agilent 	1.17000e+00 	1.17000e+00 	-12.81541	B	off	0032.12		181104 20:37:50.3876
Keithley 	1.17500e+00 	1.17500e+00 	-1.212814	A	off	0035.20		181104 20:37:53.4688
Agilent 	1.17500e+00 	1.17500e+00 	-1.92227	A	off	0035.21		181104 20:37:53.4802
Keithley 	1.17500e+00 	1.17500e+00 	3.756411	B	off	0038.32		181104 20:37:56.5860
Agilent 	1.17500e+00 	1.17500e+00 	-11.51341	B	off	0038.33		181104 20:37:56.5970
Keithley 	1.18000e+00 	1.18000e+00 	0.873205	A	off	0041.39		181104 20:37:59.6581
Agilent 	1.18000e+00 	1.18000e+00 	-2.22176	A	off	0041.40		181104 20:37:59.6689
Keithley 	1.18000e+00 	1.18000e+00 	-3.974889	B	off	0044.48		181104 20:38:02.7458
Agilent 	1.18000e+00 	1.18000e+00 	-10.62216	B	off	0044.49		181104 20:38:02.7586
