Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	12.68884	A	off	0004.21		181104 21:10:55.1681
Agilent 	1.15000e+00 	1.15000e+00 	5.375557	A	off	0004.22		181104 21:10:55.1819
Keithley 	1.15000e+00 	1.15000e+00 	-0.41984	B	off	0007.32		181104 21:10:58.2816
Agilent 	1.15000e+00 	1.15000e+00 	-6.634557	B	off	0007.34		181104 21:10:58.2947
Keithley 	1.15500e+00 	1.15500e+00 	4.716166	A	off	0010.38		181104 21:11:01.3361
Agilent 	1.15500e+00 	1.15500e+00 	-1.503432	A	off	0010.41		181104 21:11:01.3669
Keithley 	1.15500e+00 	1.15500e+00 	16.69314	B	off	0013.46		181104 21:11:04.4195
Agilent 	1.15500e+00 	1.15500e+00 	4.058781	B	off	0013.48		181104 21:11:04.4342
Keithley 	1.16000e+00 	1.16000e+00 	11.19693	A	off	0016.53		181104 21:11:07.4904
Agilent 	1.16000e+00 	1.16000e+00 	14.27913	A	off	0016.56		181104 21:11:07.5204
Keithley 	1.16000e+00 	1.16000e+00 	16.70877	B	off	0019.71		181104 21:11:10.6661
Agilent 	1.16000e+00 	1.16000e+00 	12.99736	B	off	0019.74		181104 21:11:10.6999
Keithley 	1.16500e+00 	1.16500e+00 	6.679638	A	off	0022.88		181104 21:11:13.8394
Agilent 	1.16500e+00 	1.16500e+00 	8.829427	A	off	0022.89		181104 21:11:13.8521
Keithley 	1.16500e+00 	1.16500e+00 	17.39966	B	off	0026.00		181104 21:11:16.9560
Agilent 	1.16500e+00 	1.16500e+00 	-4.902085	B	off	0026.02		181104 21:11:16.9723
Keithley 	1.17000e+00 	1.17000e+00 	17.54224	A	off	0029.09		181104 21:11:20.5193
Agilent 	1.17000e+00 	1.17000e+00 	3.200921	A	off	0029.11		181104 21:11:20.6459
